,KSWIN,ADWIN,EDDM,DDM
agrawal_a,0.7832,1.0,0.8872,0.94025
agrawal_g,0.8613,0.58335,0.8872,0.94025
Hyperplane Generator,0.8049,0.63825,0.87625,0.94025
led_a,0.8613,0.55575,0.7537,0.9213
led_g,0.78705,0.6309,0.7537,0.94025
rand_tree,0.8613,0.6276999999999999,0.7537,0.94025
rbf_if,0.8049,0.6487499999999999,0.8441000000000001,0.94025
rbf_im,0.8613,0.5680000000000001,0.7539499999999999,0.8209500000000001
sea_a,0.56325,0.5976,0.7539499999999999,0.742
sea_g,0.6358,0.65405,0.7539499999999999,0.7406999999999999
Sine Generator_Sine Generator_1000_1,0.6358,0.6859999999999999,0.8456,0.742
Sine Generator_Sine Generator_1000_1000,0.6358,0.70895,0.8230500000000001,0.84705
Stagger Generator_Stagger Generator_1000_1,0.9962500000000001,0.7041999999999999,0.8723000000000001,0.742
Stagger Generator_Stagger Generator_1000_1000,1.0,0.85145,0.82285,0.7406999999999999
SEA Generator_SEA Generator_1000_1,0.9845,0.8872,0.88445,0.742
SEA Generator_SEA Generator_1000_1000,0.9996499999999999,0.8872,0.8230500000000001,0.5648
Mixed Generator_Mixed Generator_1000_1,0.99665,0.8872,0.8723000000000001,0.6445
Mixed Generator_Mixed Generator_1000_1000,1.0,0.85015,0.82285,0.6445
Hyperplane Generator,0.99075,0.8872,0.92065,0.6445
Mean,0.85,0.73,0.83,0.8
